key,user_id,user_name,user_handle,x_coordinate,y_coordinate,political party,year,country,twitter_active_during_year
,,Barack Obama,BarackObama,3,2,Democratic,2008,USA,
,,Joe Biden,JoeBiden,3,3,Democratic,2008,USA,
,,Dennis Kucinich,Dennis_Kucinich,-2,-2,Democratic,2008,USA,
,,Bill Richardson,GovRichardson,4,4,Democratic,2008,USA,
,,Mike Huckabee,GovMikeHuckabee,6,6,Republican,2008,USA,
,,Hillary Clinton,HillaryClinton,4,2,Democratic,2008,USA,
,,Ron Paul,RonPaul,9,1,Republican,2008,USA,
,,John McCain,SenJohnMcCain,6,4,Republican,2008,USA,
,,Newt Gingrich,newtgingrich,8,7,Republican,2008,USA,
,,Mike Gravel,MikeGravel_US,8,-2,Democratic,2008,USA,
,,Alan Keyes,loyaltoliberty,6,8,Republican,2008,USA,
,,Mitt Romney,MittRomney,7,8,Republican,2008,USA,
,,Fred Thompson,fredthompson,7,7,Republican,2008,USA,
,,Chris Dodd,SenChrisDodd,3,4,Democratic,2008,USA,
,,Rudy Guiliani,RudyGiuliani,6,5,Republican,2008,USA,
,,Ralph Nader,RalphNader,-5,-3,Green,2008,USA,
,,Tom Tancredo,ttancredo,7,8,Republican,2008,USA,
,,Jill Stein,DrJillStein,-3,-3,Green,2012,USA,
,,Barack Obama,BarackObama,6,6,Democratic,2012,USA,
,,Mitt Romney,MittRomney,7,7,Republican,2012,USA,
,,Virgil Goode,VirgilGoode,9,9,Constitution,2012,USA,
,,Gary Johnson,GovGaryJohnson,9,0,Libertarian,2012,USA,
,,Newt Gingrich,newtgingrich,7,7,Republican,2012,USA,
,,Ron Paul,RonPaul,9,-1,Republican,2012,USA,
,,Rick Santorum,RickSantorum,6,8,Republican,2012,USA,
,,Hllary Clinton,HillaryClinton,8,5,Democratic,2016,USA,
,,Bernie Sanders,SenSanders,0,-2,Democratic,2016,USA,
,,Donald Trump,realDonaldTrump,9,7,Republican,2016,USA,
,,Jeb Bush,JebBush,8,9,Republican,2016,USA,
,,Ted Cruz,TedCruz,9,9,Republican,2016,USA,
,,Marco Rubio,MarcoRubio,9,8,Republican,2016,USA,
,,Gary Johnson,GovGaryJohnson,10,-2,Libertarian,2016,USA,
,,Jill Stein,DrJillStein,-3,3,Green,2016,USA,
,,Donald Trump,realDonaldTrump,9,9,Republican,2020,USA,
,,John Kasich,JohnKasich,9,8,Republican,2020,USA,
,,Bob Corker,SenBobCorker,10,9,Republican,2020,USA,
,,Mike Pence,Mike_Pence,10,9,Republican,2020,USA,
,,Larry Hogan,GovLarryHogan,10,8,Republican,2020,USA,
,,Robert O'Rourke,BetoORourke,7,6,Democratic,2020,USA,
,,Joe Biden,JoeBiden,8,7,Democratic,2020,USA,
,,Amy Klobuchar,SenAmyKlobuchar,5,5,Democratic,2020,USA,
