user_id,user_name,user_handle
,Barack Obama,BarackObama
,Joe Biden,JoeBiden
,Dennis Kucinich,Dennis_Kucinich
,Bill Richardson,GovRichardson
,Mike Huckabee,GovMikeHuckabee
,Hillary Clinton,HillaryClinton
,Ron Paul,RonPaul
,John McCain,SenJohnMcCain
,Newt Gingrich,newtgingrich
,Mike Gravel,MikeGravel_US
,Alan Keyes,loyaltoliberty
,Mitt Romney,MittRomney
,Fred Thompson,fredthompson
,Chris Dodd,SenChrisDodd
,Rudy Guiliani,RudyGiuliani
,Ralph Nader,RalphNader
,Tom Tancredo,ttancredo
,Jill Stein,DrJillStein
,Virgil Goode,VirgilGoode
,Gary Johnson,GovGaryJohnson
,Rick Santorum,RickSantorum
,Hllary Clinton,HillaryClinton
,Bernie Sanders,SenSanders
,Donald Trump,realDonaldTrump
,Jeb Bush,JebBush
,Ted Cruz,TedCruz
,Marco Rubio,MarcoRubio
,John Kasich,JohnKasich
,Bob Corker,SenBobCorker
,Mike Pence,Mike_Pence
,Larry Hogan,GovLarryHogan
,Robert O'Rourke,BetoORourke
,Amy Klobuchar,SenAmyKlobuchar
,Michael Bennet,SenatorBennet
,Steve Bollock,GovernorBullock
,Seth Moulton,sethmoulton
,Mike Bloomberg,MikeBloomberg
,Julian Castro,SecretaryCastro
,Kirsten Gillibrand,SenGillibrand
,Kamala Harris,KamalaHarris
,John Delaney,JohnDelaney
,John Hickenlooper,SenatorHick
,Cory Booker,SenBooker
,Bill Weld,GovBillWeld
,Pete Buttigieg,PeteButtigieg
,Elizabeth Warren,SenWarren
,Joe Sestak,JoeSestak
,Jay Inslee,GovInslee
,Andrew Yang,AndrewYang
,Jo Jorgensen,JoForLiberty
,Marianne Williamson,marwilliamson
,Tom Steyer,TomSteyer
,Tulsi Gabbard,TulsiGabbard
,Howie Hawkins,HowieHawkins
,Stephen Harper,StephenHarper
,Elizabeth May,ElizabethMay
,Jack Layton,jacklayton
,Michael Ignatieff,M_Ignatieff
,Justin Trudeau,JustinTrudeau
,Tom Mulcair,ThomasMuclair
,Andrew Scheer,AndrewScheer
,Jagemeet Singh,theJagmeetSingh
,Yves-Francois Blanchet,yfblanchet
,Maxime Bernier,MaximeBernier
,Erin O'Toole,erinotoole
,Annamie Paul,AnnamiePaul
,David Cameron,David_Cameron
,Gordon Brown,GordonBrown
,Nick Clegg,Nick Clegg
,Ed Miliband,Ed_Miliband
,Nicola Sturgeon,NicolaSturgeon
,Theresa May,theresa_may
,Jeremy Corbyn,jeremycorbyn
,Tim Farron,timfarron
,Arlene Foster,ArleneFosterUK
,Boris Johnson,BorisJohnson
,Jo Swinson,joswinson
,Douglass Ross,Douglas4Moray
,Anas Sarwar,AnasSarwar
,Lorna Slater,lornaslater
,Patrick Harvie,patrickharvie
,Willie Rennie,willie_rennie
,Michael Martin,MichealMartinTD
,Mary Lou McDonald,MaryLouMcDonald
,Leo Varadkar,LeoVaradkar
,Eamon Ryan,EamonRyan
,Brendan Howlin,BrendanHowlin
,Catherine Murphy,CathMurphyTD
,Roisin Shortall,RoisinShortall
,Peer Steinbruck,peersteinbrueck
,Gregor Gysi,GregorGysi
,Jurgen Trittin,JTrittin
,Katrin Goring-Eckardt,GoeringEckardt
,Martin Schulz,MartinSchulz
,Alexander Gauland,AG_AfD
,Alice Weidel,Alice_Weidel
,Christian Lindner,c_lindner
,Dietmar Bartsch,DietmarBartsch
,Sahra Wagenknecht,SWagenknecht
,Cem Ozdemir ,cem_oezdemir
,Olaf Scholz,OlafScholz
,Armin Laschet,ArminLaschet
,Annalena Baerbock,ABaerbock
,Christian Linder,c_lindner
,Tino Chrupalla,Tino_Chrupalla
,Janine Wissler,Janine_Wissler
,Emmanuel Macron,EmmanuelMacron
,Marie Le Pen,MLP_officiel
,Jean-Luc Melenchon,JLMelenchon
,Benoit Hamon,benoithamon
,Francois Fillon,FrancoisFillon
,Anne Hildago,Anne_Hidalgo
,Eric Zemmour,ZemmourEric
,Valerie Pecresse,vpecresse
,Yannick Jadot,yjadot
,Fabien Roussel,Fabien_Roussel
,Julia Gillard,JuliaGillard
,Tony Abbot,HonTonyAbbott
,Bob Brown,DrBobBrown
,Kevin Rudd,MrKRudd
,Chrstine Milne,ChristineMilne
,Bob Katter,RealBobKatter
,Malcolm Turnbull,TurnbullMalcolm
,Bill Shorten,billshortenmp
,Richard Di Natale,RichardDiNatale
,Scott Morrison,ScoMo30
,Rebekha Sharkie,MakeMayoMatter
,Anthony Albanese,AlboMP
,Adam Bandt,AdamBandt
,Jair Bolsanaro,jairbolsonaro
,Lula da Silva,LulaOficial
,John Key,RtHon_JohnKey
,Phil Goff,phil_goff
,Russel Norman,RusselNorman
,Metiria Turei,MetiriaTureiMP
,Pita Sharples,papapita
,Hone Harawire,MPHoneHarawira
,Don Brash,DonBrashNZ
,Peter Dunne,honpeterdunne
,David Cunliffe,davidcunliffe
,Winston Peters,winstonpeters
,Te Ururoa Flavell,TeUruroaFlavell
,Jamie Whyte,_JamieWhyte
,Laila Harre,lailaharre
,Bill English,RtHonBEnglish
,Jacinda Ardern,jacindaardern
,James Shaw,jamespeshaw
,David Seymour,dbseymour
,Judith Collins,JudithCollinsMP
,Marama Davidson,MaramaDavidson
,John Tamihere,john_tamihere
,Debbie Ngarewa-Packer,whaeadeb
,Christopher Luxon,chrisluxonmp
,Chris Hipkins,chrishipkins
